xirr,max_dd,sharpe,n_trades,win_rate,avg_size_factor,label,breadth_mode,factor,zone_lo,zone_hi,pct_of_raw,pct_of_gap,dd_vs_gap
1900.5,-10.6,6.68,2222,55.0,1.0,none_D3_R1.5_T0.02_H10,none,1.0,,,86.8204659661946,100.0,0.0
1811.2,-10.0,6.68,2222,55.0,0.975,reduce_30-55_0.90_D3_R1.5_T0.02_H10,reduce_30-55_0.90,0.9,0.3,0.55,82.74097761534948,95.30123651670614,-0.5999999999999996
1848.3,-10.1,6.68,2222,55.0,0.977,reduce_40-55_0.85_D3_R1.5_T0.02_H10,reduce_40-55_0.85,0.85,0.4,0.55,84.43581544084057,97.2533543804262,-0.5
1767.7,-9.7,6.68,2222,55.0,0.962,reduce_30-55_0.85_D3_R1.5_T0.02_H10,reduce_30-55_0.85,0.85,0.3,0.55,80.75376884422111,93.0123651670613,-0.9000000000000004
1855.4,-10.3,6.68,2222,55.0,0.987,reduce_30-55_0.95_D3_R1.5_T0.02_H10,reduce_30-55_0.95,0.95,0.3,0.55,84.76016445865693,97.62694027887399,-0.29999999999999893
1845.1,-10.2,6.68,2222,55.0,0.979,reduce_35-55_0.90_D3_R1.5_T0.02_H10,reduce_35-55_0.90,0.9,0.35,0.55,84.28962996802193,97.08497763746382,-0.40000000000000036
1865.6,-10.3,6.68,2222,55.0,0.985,reduce_40-55_0.90_D3_R1.5_T0.02_H10,reduce_40-55_0.90,0.9,0.4,0.55,85.22613065326632,98.16364114706656,-0.29999999999999893
1883.0,-10.4,6.68,2222,55.0,0.992,reduce_40-55_0.95_D3_R1.5_T0.02_H10,reduce_40-55_0.95,0.95,0.4,0.55,86.02101416171767,99.0791896869245,-0.1999999999999993
1872.6,-10.4,6.68,2222,55.0,0.99,reduce_35-55_0.95_D3_R1.5_T0.02_H10,reduce_35-55_0.95,0.95,0.35,0.55,85.5459113750571,98.53196527229676,-0.1999999999999993
1860.5,-10.5,6.68,2222,55.0,0.99,reduce_30-50_0.95_D3_R1.5_T0.02_H10,reduce_30-50_0.95,0.95,0.3,0.5,84.99314755596163,97.89529071297028,-0.09999999999999964
1821.2,-10.4,6.67,2222,55.0,0.98,reduce_30-50_0.90_D3_R1.5_T0.02_H10,reduce_30-50_0.90,0.9,0.3,0.5,83.19780721790772,95.82741383846356,-0.1999999999999993
1855.3,-10.6,6.67,2222,55.0,0.985,reduce_35-50_0.90_D3_R1.5_T0.02_H10,reduce_35-50_0.90,0.9,0.35,0.5,84.75559616263133,97.6216785056564,0.0
1877.8,-10.6,6.67,2222,55.0,0.993,reduce_35-50_0.95_D3_R1.5_T0.02_H10,reduce_35-50_0.95,0.95,0.35,0.5,85.78346276838738,98.80557747961063,0.0
1876.0,-10.7,6.67,2222,55.0,0.99,reduce_40-50_0.90_D3_R1.5_T0.02_H10,reduce_40-50_0.90,0.9,0.4,0.5,85.70123343992691,98.71086556169429,0.09999999999999964
1782.6,-10.3,6.67,2222,55.0,0.97,reduce_30-50_0.85_D3_R1.5_T0.02_H10,reduce_30-50_0.85,0.85,0.3,0.5,81.43444495203289,93.79636937647987,-0.29999999999999893
1817.8,-9.9,6.67,2222,55.0,0.969,reduce_35-55_0.85_D3_R1.5_T0.02_H10,reduce_35-55_0.85,0.85,0.35,0.55,83.04248515303792,95.64851354906602,-0.6999999999999993
1833.1,-10.6,6.67,2222,55.0,0.978,reduce_35-50_0.85_D3_R1.5_T0.02_H10,reduce_35-50_0.85,0.85,0.35,0.5,83.74143444495203,96.4535648513549,0.0
1863.8,-10.7,6.67,2222,55.0,0.986,reduce_40-50_0.85_D3_R1.5_T0.02_H10,reduce_40-50_0.85,0.85,0.4,0.5,85.14390132480585,98.06892922915023,0.09999999999999964
1725.1,-9.4,6.67,2222,55.0,0.949,reduce_30-55_0.80_D3_R1.5_T0.02_H10,reduce_30-55_0.80,0.8,0.3,0.55,78.80767473732297,90.77084977637463,-1.1999999999999993
1562.5,-8.1,6.62,2222,55.0,0.898,reduce_30-55_0.60_D3_R1.5_T0.02_H10,reduce_30-55_0.60,0.6,0.3,0.55,71.3796253997259,82.2152065245988,-2.5
